name,furniture_type,price,color,shop_name,shop_item_id,shop_url,x_dimension,y_dimension,z_dimension,photo
【オンラインショップ限定】フリル ごろ寝マット 700×1800 グレー,sofa,6800,#c5bdbd,francfranc,,https://francfranc.com/products/1102110030751?id=39233df9b5bd6fa41a08ba9a0c46d9ca&objectID=39524949590039&position=46,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1102110030751_d1.jpg?v=1641543981
ミーティス ラグ LL ライトグレー 2000×3000,sofa,42000,#c5bdbd,francfranc,,https://francfranc.com/products/1102090031434?id=39233df9b5bd6fa41a08ba9a0c46d9ca&objectID=39443103023127&position=47,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1102090031434_d1.jpg?v=1640759919
エルフィア ホットカーペットラグ L 1900×1900 グレー×アイボリー,sofa,10900,#c5bdbd,francfranc,,https://francfranc.com/products/1102090010828?id=39233df9b5bd6fa41a08ba9a0c46d9ca&objectID=31755364958231&position=48,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1102090010828_d1.jpg?v=1600826317
ピソラ コンパクトソファベッド 2 グレー（W1270～1720）,sofa,59000,#c5bdbd,francfranc,,https://francfranc.com/products/1108010016253?id=7cbe77c39a62116906ca7a9c53b87aee&objectID=40736011288599&position=1,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/files/1108010016253_d1.jpg?v=1706092979
ピソラ コンパクトソファベッド 2 グレージュ（W1270～1720）,sofa,59000,#c5bdbd,francfranc,,https://francfranc.com/products/1108010016277?id=7cbe77c39a62116906ca7a9c53b87aee&objectID=40736011550743&position=2,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/files/1108010016277_d1.jpg?v=1706092983
ラージュ オットマン グレー,sofa,41000,#c5bdbd,francfranc,,https://francfranc.com/products/1108010016369?id=7cbe77c39a62116906ca7a9c53b87aee&objectID=40736011976727&position=3,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/files/1108010016369_d1.jpg?v=1706092980
ラージュ ヘッドレスト グレー,sofa,14000,#c5bdbd,francfranc,,https://francfranc.com/products/1108010016390?id=7cbe77c39a62116906ca7a9c53b87aee&objectID=40736011812887&position=4,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/files/1108010016390_d1.jpg?v=1706092977
ベルティーク ファブリックミスト グレー（リリー＆パチュリー）,sofa,2000,#c5bdbd,francfranc,,https://francfranc.com/products/1105120065232?id=7cbe77c39a62116906ca7a9c53b87aee&objectID=40736004702231&position=5,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/files/1105120065232_d1.jpg?v=1702021235
リップル スロー（ひざ掛け） 1700×1000 ライトグレー【春夏モデル】,sofa,5800,#c5bdbd,francfranc,,https://francfranc.com/products/1102050076420?id=7cbe77c39a62116906ca7a9c53b87aee&objectID=40735991824407&position=6,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/files/1102050076420_d1.jpg?v=1706092901
ステラ ブランケット（毛布） M グレー,sofa,1980,#c5bdbd,francfranc,,https://francfranc.com/products/1202050136367?id=7cbe77c39a62116906ca7a9c53b87aee&objectID=40617403744279&position=7,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/files/1202050136367_d1.jpg?v=1696549628
ファーモラグ M 1600×500 グレー,sofa,4830,#c5bdbd,francfranc,,https://francfranc.com/products/1102090103162?id=7cbe77c39a62116906ca7a9c53b87aee&objectID=40582510182423&position=8,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/files/1102090103162_d1.jpg?v=1689934052
ファーモラグ S 900×500 グレー,sofa,2730,#c5bdbd,francfranc,,https://francfranc.com/products/1102090103124?id=7cbe77c39a62116906ca7a9c53b87aee&objectID=40582510051351&position=9,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/files/1102090103124_d1.jpg?v=1689934052
【オンラインショップ限定】WARMY ボティーヌ チェア＆ソファカバー グレー,sofa,2800,#c5bdbd,francfranc,,https://francfranc.com/products/1102050075799?id=7cbe77c39a62116906ca7a9c53b87aee&objectID=40582508609559&position=10,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/files/1102050075799_d5.jpg?v=1704966082
【オンラインショップ限定】ファミーユ ローソファ 1S グレー（W500）,sofa,6900,#c5bdbd,francfranc,,https://francfranc.com/products/1108010016154?id=7cbe77c39a62116906ca7a9c53b87aee&objectID=40582490357783&position=11,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/files/1108010016154_d1.jpg?v=1689217388
【オンラインショップ限定】ファミーユ ローソファ コーナー グレー（W750）,sofa,9900,#c5bdbd,francfranc,,https://francfranc.com/products/1108010016192?id=7cbe77c39a62116906ca7a9c53b87aee&objectID=40582491078679&position=12,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/files/1108010016192_d1.jpg?v=1689217387
【オンラインショップ限定】ファミーユ ローソファ 2S グレー（W1000）,sofa,12900,#c5bdbd,francfranc,,https://francfranc.com/products/1108010016178?id=7cbe77c39a62116906ca7a9c53b87aee&objectID=40582490062871&position=13,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/files/1108010016178_d1.jpg?v=1689217390
ファー クッションカバー 450×450 グレー（F-045）,sofa,2000,#c5bdbd,francfranc,,https://francfranc.com/products/1102010048931?id=7cbe77c39a62116906ca7a9c53b87aee&objectID=40582505594903&position=14,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/files/1102010048931_d1.jpg?v=1691023753
シュエット ソファ 3S ダークグレー（W1750）,sofa,79000,#c5bdbd,francfranc,,https://francfranc.com/products/1108010016024?id=7cbe77c39a62116906ca7a9c53b87aee&objectID=40582490390551&position=15,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/files/1108010016024_d1.jpg?v=1690850812
ラージュ ソファ 3S ダークグレー（W1860）,sofa,159000,#c5bdbd,francfranc,,https://francfranc.com/products/1108010015966?id=7cbe77c39a62116906ca7a9c53b87aee&objectID=40582491439127&position=16,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/files/1108010015966_d1.jpg?v=1689217387
ラージュ ソファ 3S グレー（W1860）,sofa,159000,#c5bdbd,francfranc,,https://francfranc.com/products/1108010015959?id=7cbe77c39a62116906ca7a9c53b87aee&objectID=40582489997335&position=17,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/files/1108010015959_d1.jpg?v=1689217386
フィーザ スロー（ひざ掛け） 1700×1300 グレー【2023秋冬モデル】,sofa,5950,#c5bdbd,francfranc,,https://francfranc.com/products/1102050076048?id=7cbe77c39a62116906ca7a9c53b87aee&objectID=40582509232151&position=18,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/files/1102050076048_d1.jpg?v=1689217242
ラージュ ソファ L ブルー,sofa,127500,#c5bdbd,francfranc,,https://francfranc.com/products/1108010151305?id=7cbe77c39a62116906ca7a9c53b87aee&objectID=28904474542144&position=19,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1108010151305_d1.jpg?v=1670484421
リリア マルチクロス 1900×2300 グレー,sofa,1260,#c5bdbd,francfranc,,https://francfranc.com/products/1102050107803?id=7cbe77c39a62116906ca7a9c53b87aee&objectID=29420441206807&position=20,,,,https://cdn.shopify.com/s/files/1/0132/7936/3136/products/1102050107803_A.jpg?v=1579159666
